Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,0.1u,C1525
C2,0402,1,0.22u,C16772
C3,0402,1,4.7u,C23733
D1,LED_D5.0mm,1,LED,
J2,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,Conn_01x04,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,C11702
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100,C25076
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,C25744
"R8, R9",0402,2,2.2k,C25879
U1,ESP32-C3-DevBoard,1,ESP32-C3-DevBoard,
U2,LGA-16_3x3mm_P0.5mm,1,QMC5883L,C976032
U4,LBT-131,1,LBT-131,
